ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
316,1,2,1,0,0,1,1,2,4,1,1
317,1,2,0,2,0,1,1,0,4,1,1
318,0,2,1,0,0,0,1,0,4,4,1
319,0,2,0,0,0,0,4,0,4,4,0
320,0,0,0,0,0,1,4,0,4,4,0
321,0,0,1,3,0,1,1,0,4,4,0
322,0,0,1,0,0,1,0,0,4,0,1
323,1,0,1,0,0,1,4,0,4,1,0
324,1,0,0,3,0,1,4,2,4,1,0
325,1,0,1,0,0,0,4,2,4,4,1
326,1,0,0,0,0,1,0,1,4,1,0
327,0,0,1,0,0,1,0,2,4,0,0
328,0,0,1,3,0,1,2,2,4,0,0
329,0,0,1,0,0,1,0,2,4,0,1
330,1,0,1,0,0,0,1,0,4,3,0
331,1,0,0,0,0,0,4,2,4,3,0
332,0,0,1,0,0,1,0,2,4,0,1
333,0,0,1,2,0,1,4,2,4,0,0
334,0,0,1,2,0,0,4,0,4,4,1
335,0,0,0,0,0,1,1,0,4,0,1
336,1,0,0,0,0,1,1,0,4,4,1
337,1,0,1,0,0,0,1,0,4,1,0
338,1,0,0,0,0,1,0,1,4,0,0
339,0,0,0,0,0,1,4,0,4,4,0
340,1,0,1,0,0,1,4,0,4,1,0
341,1,0,1,0,0,1,1,0,4,4,0
342,0,0,0,1,0,1,1,0,4,4,0
343,1,0,1,0,0,1,1,0,4,3,0
344,0,0,1,0,0,1,0,2,4,4,0
345,1,0,1,0,0,0,1,0,4,3,1
346,1,0,1,2,0,1,4,2,4,1,0
347,1,0,1,0,0,1,1,0,4,4,0
348,0,0,1,2,0,1,4,0,4,0,0
349,1,0,0,3,0,1,1,0,4,1,1
350,1,0,0,3,0,1,1,0,4,1,1
351,1,0,0,3,0,1,1,0,4,1,1
352,1,0,0,0,0,0,4,2,4,1,0
353,0,0,1,2,0,1,4,0,4,0,0
354,1,0,1,0,0,1,4,2,4,2,0
355,0,0,1,0,0,1,4,0,4,4,0
356,0,0,0,0,0,1,0,2,4,0,1
357,1,0,1,0,0,1,1,0,4,1,0
358,1,0,0,1,0,0,1,2,4,1,0
359,1,0,1,3,0,0,4,2,4,1,1
360,0,3,1,3,0,0,1,0,3,2,0
361,0,3,0,3,0,0,1,0,3,0,0
362,0,3,1,2,0,0,1,0,3,0,0
363,0,3,1,3,0,1,4,0,3,0,0
364,1,3,0,3,0,1,1,0,3,4,0
365,0,3,0,0,0,1,4,2,3,4,0
366,0,3,1,3,0,1,4,2,3,0,0
367,1,3,1,3,0,1,1,0,3,2,0
368,1,3,0,0,0,1,4,2,3,1,1
369,1,3,1,3,0,1,1,0,3,2,0
370,0,3,0,3,0,1,1,0,3,0,0
371,0,3,0,2,0,1,1,0,3,0,0
372,0,3,0,0,0,1,4,0,3,0,0
373,0,3,1,3,0,1,4,0,3,0,0
374,0,3,1,0,0,0,1,0,3,0,0
375,1,3,0,3,0,1,1,0,3,1,0
376,0,3,1,3,0,1,0,2,3,0,0
377,0,3,0,3,0,1,4,0,3,0,1
378,0,3,1,3,0,1,4,0,3,4,1
379,1,3,0,3,0,1,1,0,3,1,0
380,0,3,0,0,0,0,1,0,3,0,0
381,0,3,1,3,0,0,1,0,3,0,0
382,0,3,1,0,0,0,1,0,3,2,0
383,0,3,0,0,3,0,1,0,3,0,0
384,0,3,1,3,0,1,1,0,3,0,0
385,0,3,1,3,0,1,1,0,3,0,0
386,1,3,0,3,0,1,1,0,3,3,1
387,1,3,1,0,0,1,1,0,3,0,0
388,0,3,1,3,0,0,1,0,3,0,0
389,0,3,1,3,0,1,4,2,3,4,0
390,0,3,0,0,0,1,4,0,3,0,0
391,0,3,1,3,0,0,4,0,3,0,1
392,0,3,1,3,0,0,1,0,3,0,1
393,0,3,1,3,0,1,4,2,3,0,0
394,0,3,1,2,0,1,4,0,3,0,0
395,0,3,0,0,0,1,4,0,3,4,0
396,0,3,1,3,0,1,1,0,3,4,0
397,0,3,1,3,0,1,4,0,3,0,1
398,1,3,0,2,0,1,1,2,3,1,0
399,0,3,0,3,0,1,1,0,3,4,0
400,1,3,0,0,0,1,1,0,3,1,0
401,0,3,0,3,0,0,1,0,3,0,0
402,1,3,1,3,0,0,1,0,3,1,1
403,0,3,0,2,0,0,1,0,3,2,0
404,0,3,1,0,0,0,1,0,3,0,0
405,0,3,1,3,0,0,4,0,3,0,0
406,0,3,0,3,0,1,1,0,3,0,1
407,0,3,0,0,0,0,1,0,3,2,0
408,0,3,1,3,0,1,1,0,3,4,0
409,1,3,0,2,0,1,1,0,3,4,0
410,1,3,1,0,0,1,1,2,3,1,0
411,1,3,1,0,0,1,1,0,3,4,0
412,1,3,1,3,0,1,1,0,3,3,0
413,0,3,0,0,0,1,1,0,3,4,0
414,0,3,1,3,0,1,4,0,3,0,1
415,1,3,1,3,0,1,1,0,3,1,0
416,0,3,0,3,0,1,4,0,3,0,0
417,1,3,1,3,0,1,1,0,3,1,0
418,0,3,1,3,0,1,1,0,3,0,0
419,1,3,0,2,3,1,1,2,3,0,0
420,1,3,1,3,0,1,1,0,3,1,1
421,0,3,1,2,0,0,1,0,3,2,0
422,0,1,1,0,0,1,1,0,3,0,0
423,1,1,0,3,0,1,1,0,3,1,0
424,1,1,0,0,0,1,1,0,3,3,0
425,0,1,1,0,0,1,1,0,3,0,0
